BA,
GD,
CARR,
JNJ,
MMM,
PCAR,
RHI,
PAYC,
PAYX,
LDOS,
EFX,
FDX,
F,
GM,
GRMN,
HAS,
TPR,
CPRI,
WYNN,
CCL,
SBUX,
DPZ,
DRI,
KMX,
WBA,
COST,
TAP,
ADM
